date,index1,index2,loss_profits,pred_date,prediction,real,0.694444444,,,BT,BB,real,pred,구간예측,구간+방향성
2018-03-01,312.45,309.15,3.299999952,2018-05-31,-3.614577055,-3.299999952,,4.024875811,2018-05-31,315.7668959,302.5331042,309.15,308.8354229,1,1
2018-03-02,308.15,311.4,-3.25,2018-06-01,-0.366128564,3.25,,4.038854704,2018-06-01,318.0398771,304.7601229,311.4,307.7838714,1,0
2018-03-05,303.85,313.1500002,9.300000191,2018-06-04,6.070994377,9.300000191,,3.946494417,2018-06-04,319.638037,306.6619634,313.1500002,309.9209944,1,1
2018-03-06,310.3,313.75,3.450000048,2018-06-05,7.44553709,3.450000048,,3.676491182,2018-06-05,319.7941516,307.7058485,313.75,317.7455371,1,1
2018-03-07,310.45,313.75,3.299999952,2018-06-06,8.354866982,3.299999952,,3.623663245,2018-06-06,319.7073023,307.7926976,313.75,318.804867,1,1
2018-03-08,313.6,316.85,3.25,2018-06-07,4.543510914,3.25,,3.56662699,2018-06-07,322.7135348,310.9864652,316.85,318.1435109,1,1
2018-03-09,317.1,313.3,-3.799999952,2018-06-08,0.405521959,-3.799999952,,3.56963928,2018-06-08,319.168487,307.4315131,313.3,317.505522,1,0
2018-03-12,320.1,316.15,-3.950000048,2018-06-11,5.281392097,-3.950000048,,3.566134091,2018-06-11,322.0127244,310.2872755,316.15,325.3813921,0,0
2018-03-13,321.5,315.6500001,-5.849999905,2018-06-12,2.048195362,-5.849999905,,3.524683606,2018-06-12,321.4445799,309.8554202,315.6500001,323.5481954,0,0
2018-03-14,321.55,315.6499999,5.900000095,2018-06-13,-6.881299496,-5.900000095,,3.4491974,2018-06-13,321.3204804,309.9795194,315.6499999,314.6687005,1,1
2018-03-15,322.85,310.4000002,12.44999981,2018-06-14,-8.104620934,-12.44999981,,3.426573873,2018-06-14,316.0332876,304.7667127,310.4000002,314.7453791,1,1
2018-03-16,322,309.1999998,12.80000019,2018-06-15,-6.046159267,-12.80000019,,3.383942612,2018-06-15,314.7632015,303.6367982,309.1999998,315.9538407,0,0
2018-03-19,319.85,305.85,-14,2018-06-18,2.070510387,-14,,3.469712526,2018-06-18,311.5542074,300.1457926,305.85,321.9205104,0,0
2018-03-20,321.3,301.3499992,-19.95000076,2018-06-19,8.008745193,-19.95000076,,3.802045288,2018-06-19,307.6005617,295.0994368,301.3499992,329.3087452,0,0
2018-03-21,321.6,304.2000004,17.39999962,2018-06-20,-0.51259321,-17.39999962,,3.926344068,2018-06-20,310.65491,297.7450907,304.2000004,321.0874068,0,0
2018-03-22,322.1,300.7499996,-21.35000038,2018-06-21,0.125196308,-21.35000038,,4.172942872,2018-06-21,307.6103177,293.8896815,300.7499996,322.2251963,0,0
2018-03-23,311.5,303.6500001,-7.849999905,2018-06-22,12.6560154,-7.849999905,,4.248144323,2018-06-22,310.6339494,296.6660508,303.6500001,324.1560154,0,0
2018-03-26,314.5,303.25,-11.25,2018-06-25,18.34671974,-11.25,,4.435618441,2018-06-25,310.5421567,295.9578433,303.25,332.8467197,0,0
2018-03-27,315.15,302.4,-12.75,2018-06-26,6.664981842,-12.75,,4.648095081,2018-06-26,310.0414683,294.7585317,302.4,321.8149818,0,0
2018-03-28,310.65,301.5499996,9.100000381,2018-06-27,-0.763198912,-9.100000381,,4.871807005,2018-06-27,309.5592503,293.5407489,301.5499996,309.8868011,0,0
2018-03-29,314.45,299.0999996,15.35000038,2018-06-28,-6.873383522,-15.35000038,,5.168214953,2018-06-28,307.596545,290.6034542,299.0999996,307.5766165,1,1
2018-03-30,314.55,299.9999998,14.55000019,2018-06-29,-16.27673721,-14.55000019,,5.413055745,2018-06-29,308.8990635,291.1009362,299.9999998,298.2732628,1,1
2018-04-02,313.45,292.9000008,20.54999924,2018-07-02,-10.63489819,-20.54999924,,5.944084099,2018-07-02,302.672075,283.1279265,292.9000008,302.8151018,0,0
2018-04-03,312.8,293.7500008,19.04999924,2018-07-03,-5.440293312,-19.04999924,,6.380108265,2018-07-03,304.2388988,283.2611028,293.7500008,307.3597067,0,0
2018-04-04,307.55,292.55,15,2018-07-04,-6.942714691,-15,,6.827680703,2018-07-04,303.7747071,281.3252929,292.55,300.6072853,1,1
2018-04-05,312.95,291.9999992,20.95000076,2018-07-05,-4.277468681,-20.95000076,,7.239779107,2018-07-05,303.9021961,280.0978024,291.9999992,308.6725313,0,0
2018-04-06,311.2,293.5999996,17.60000038,2018-07-06,-3.695580959,-17.60000038,,7.575420165,2018-07-06,306.0539904,281.1460089,293.5999996,307.504419,0,0
2018-04-09,312.95,296.2499992,16.70000076,2018-07-09,-4.40419817,-16.70000076,,7.803994592,2018-07-09,309.0797663,283.4202321,296.2499992,308.5458018,1,1
2018-04-10,313.45,296.95,16.5,2018-07-10,-0.495113969,-16.5,,7.996628114,2018-07-10,310.0964566,283.8035434,296.95,312.954886,0,0
2018-04-11,312.45,295.3000004,-17.14999962,2018-07-11,2.952471733,-17.14999962,,8.220427396,2018-07-11,308.814383,281.7856177,295.3000004,315.4024717,0,0
2018-04-12,311.75,296,15.75,2018-07-12,-10.13665104,-15.75,,8.414754947,2018-07-12,309.8338571,282.1661429,296,301.613349,1,1
2018-04-13,314.45,299.0999996,15.35000038,2018-07-13,-5.023276329,-15.35000038,,8.528841238,2018-07-13,313.1214146,285.0785846,299.0999996,309.4267237,1,1
2018-04-16,314.3,298.1999996,16.10000038,2018-07-16,-11.62102032,-16.10000038,,8.640879996,2018-07-16,312.4056063,283.9943929,298.1999996,302.6789797,1,1
2018-04-17,314.4,297.3500008,17.04999924,2018-07-17,-7.860218048,-17.04999924,,8.76361465,2018-07-17,311.7573832,282.9426183,297.3500008,306.539782,1,1
2018-04-18,317.6,297.0500008,20.54999924,2018-07-18,-6.232582092,-20.54999924,,8.882688337,2018-07-18,311.6531404,282.4468611,297.0500008,311.3674179,1,1
2018-04-19,319,296.0499992,22.95000076,2018-07-19,-9.541072845,-22.95000076,,8.977038568,2018-07-19,310.8082506,281.2917478,296.0499992,309.4589272,0,0
,,,,,,,,,,,,,,,0.444444444
