1date,2pred_date,3prediction,4real,5ma_today,6ma_pred,7ma_real,8loss_profits
2018-03-02,2018-06-01,-6.03962516784668,-7.030862331390381,322.4369231,316.3972979321533,315.4060607686096,7.030862331390381
2018-03-05,2018-06-04,-6.958061218261719,-6.629720211029053,322.1115385,315.1534772817383,315.48181828897094,6.629720211029053
2018-03-06,2018-06-05,-8.348183631896973,-6.2289509773254395,321.8607692,313.512585568103,315.63181822267455,6.2289509773254395
2018-03-07,2018-06-06,-7.628542900085449,-6.00437068939209,321.6884615,314.05991859991457,315.6840908106079,6.00437068939209
2018-03-08,2018-06-07,-5.664594650268555,-5.79817008972168,321.5792308,315.91463614973145,315.7810607102783,5.79817008972168
2018-03-09,2018-06-08,-2.9811131954193115,-5.7365617752075195,321.5130769,318.5319637045807,315.77651512479247,5.7365617752075195
2018-03-12,2018-06-11,-1.9041554927825928,-5.729417324066162,321.4915385,319.5873830072174,315.7621211759338,5.729417324066162
2018-03-13,2018-06-12,-4.482663631439209,-5.812995433807373,321.5076923,317.02502866856076,315.6946968661926,5.812995433807373
2018-03-14,2018-06-13,-2.5961837768554688,-5.881631851196289,321.4876923,318.8915085231445,315.6060604488037,5.881631851196289
2018-03-15,2018-06-14,-2.5896809101104736,-6.028263568878174,321.46538460000005,318.8757036898896,315.4371210311219,6.028263568878174
2018-03-16,2018-06-15,-1.4782475233078003,-6.223543167114258,321.4538462,319.9755986766922,315.23030303288573,6.223543167114258
2018-03-19,2018-06-18,-1.707993745803833,-6.40208625793457,321.38769229999997,319.67969855419614,314.9856060420654,6.40208625793457
2018-03-20,2018-06-19,-2.9079253673553467,-6.643158435821533,321.34846150000004,318.4405361326447,314.7053030641785,6.643158435821533
2018-03-21,2018-06-20,0.12585219740867615,-6.872249603271484,321.3184615,321.4443136974087,314.4462118967285,-6.872249603271484
2018-03-22,2018-06-21,2.6222665309906006,-7.268927574157715,321.3992308,324.0214973309906,314.1303032258423,-7.268927574157715
2018-03-23,2018-06-22,2.5584256649017334,-7.440781116485596,321.2915385,323.84996416490173,313.8507573835144,-7.440781116485596
2018-03-26,2018-06-25,5.476236343383789,-7.504242420196533,321.23,326.7062363433838,313.7257575798035,-7.504242420196533
2018-03-27,2018-06-26,4.113789081573486,-7.652191162109375,321.1946154,325.30840448157346,313.5424242378906,-7.652191162109375
2018-03-28,2018-06-27,3.676642894744873,-7.695943832397461,321.0323077,324.70895059474486,313.33636386760253,-7.695943832397461
2018-03-29,2018-06-28,1.4444069862365723,-7.698636531829834,320.86,322.3044069862366,313.1613634681702,-7.698636531829834
2018-03-30,2018-06-29,0.94398033618927,-7.746806621551514,320.6892308,321.6332111361893,312.9424241784485,-7.746806621551514
2018-04-02,2018-07-02,1.9848190546035767,-7.887144565582275,320.5015385,322.48635755460356,312.6143939344177,-7.887144565582275
2018-04-03,2018-07-03,1.6771798133850098,-7.974860191345215,320.2907692,321.967949013385,312.3159090086548,-7.974860191345215
2018-04-04,2018-07-04,1.7605410814285278,-7.971678256988525,319.9807692,321.7413102814285,312.0090909430115,-7.971678256988525
2018-04-05,2018-07-05,3.04192852973938,-8.021900177001953,319.79538460000003,322.8373131297394,311.7734844229981,-8.021900177001953
2018-04-06,2018-07-06,2.2423691749572754,-8.042004585266113,319.5223077,321.7646768749573,311.4803031147339,-8.042004585266113
2018-04-09,2018-07-09,2.1001431941986084,-7.986981391906738,319.2407692,321.3409123941986,311.25378780809325,-7.986981391906738
2018-04-10,2018-07-10,3.6982064247131348,-7.967866897583008,318.97923080000004,322.6774372247132,311.01136390241703,-7.967866897583008
2018-04-11,2018-07-11,4.564276218414307,-8.00594425201416,318.7423077,323.30658391841433,310.73636344798587,-8.00594425201416
2018-04-12,2018-07-12,4.200504779815674,-8.028263092041016,318.51538460000006,322.71588937981574,310.48712150795905,-8.028263092041016
2018-04-13,2018-07-13,2.1930291652679443,-8.029160499572754,318.32461539999997,320.5176445652679,310.2954549004272,-8.029160499572754
2018-04-16,2018-07-16,0.9434653520584106,-8.075372695922852,318.1246154,319.0680807520584,310.04924270407713,-8.075372695922852
2018-04-17,2018-07-17,3.7152373790740967,-8.084498405456543,317.8769231,321.5921604790741,309.79242469454346,-8.084498405456543
2018-04-18,2018-07-18,3.400383472442627,-8.168915748596191,317.6984615,321.09884497244263,309.5295457514038,-8.168915748596191
2018-04-19,2018-07-19,4.071612358093262,-8.335431098937988,317.53846150000004,321.6100738580933,309.20303040106205,-8.335431098937988
