date,loss_profits,pred_date,prediction,real,std_index,
2018-03-02,3.8182847,2018-06-01,4.135551453,3.966346979,7.784631679,-3.649080226
2018-03-05,4.413488389,2018-06-04,4.07332325,3.697512865,8.111001254,-4.037678004
2018-03-06,4.577558862,2018-06-05,3.877870083,3.643728733,8.221287595,-4.343417512
2018-03-07,4.750392466,2018-06-06,3.888808012,3.591860533,8.342252999,-4.453444987
2018-03-08,4.817799571,2018-06-07,3.804240942,3.583869219,8.40166879,-4.597427848
2018-03-09,4.826456437,2018-06-08,3.79079175,3.593554497,8.420010934,-4.629219184
2018-03-12,4.869726313,2018-06-11,3.804056883,3.552109003,8.421835316,-4.617778433
2018-03-13,4.944777915,2018-06-12,4.084798813,3.476035357,8.420813272,-4.336014459
2018-03-14,5.024664292,2018-06-13,3.750181198,3.394454718,8.41911901,-4.668937812
2018-03-15,5.088856961,2018-06-14,3.719684362,3.324613094,8.413470055,-4.693785693
2018-03-16,5.110241167,2018-06-15,3.649734974,3.301953793,8.41219496,-4.762459986
2018-03-19,4.96495191,2018-06-18,3.706424475,3.442615509,8.407567419,-4.701142944
2018-03-20,4.661333689,2018-06-19,3.855746269,3.740512133,8.401845822,-4.546099553
2018-03-21,4.544405988,2018-06-20,4.02660799,3.852936268,8.397342256,-4.370734266
2018-03-22,4.295069383,2018-06-21,4.168354988,4.083849907,8.37891929,-4.210564302
2018-03-23,4.190391242,2018-06-22,4.599150658,4.270952702,8.461343944,-3.862193286
2018-03-26,4.027363457,2018-06-25,4.69818449,4.469073296,8.496436753,-3.798252263
2018-03-27,3.837299866,2018-06-26,4.9367342,4.679889202,8.517189068,-3.580454868
2018-03-28,3.718976224,2018-06-27,4.713516235,4.898046494,8.617022718,-3.903506483
2018-03-29,3.429297767,2018-06-28,5.345449924,5.205905437,8.635203204,-3.28975328
2018-03-30,3.197319982,2018-06-29,5.47097826,5.451422215,8.648742197,-3.177763937
2018-04-02,2.682335123,2018-07-02,6.61355114,5.989417553,8.671752676,-2.058201536
2018-04-03,2.26068145,2018-07-03,6.789273739,6.429470539,8.690151989,-1.90087825
2018-04-04,1.922791963,2018-07-04,7.150744438,6.857853889,8.780645852,-1.629901414
2018-04-05,1.505587213,2018-07-05,7.458810806,7.294615746,8.800202959,-1.341392153
2018-04-06,1.152785703,2018-07-06,7.579050064,7.634292126,8.787077829,-1.208027765
2018-04-09,0.836342915,2018-07-09,7.515212536,7.861824512,8.698167427,-1.182954891
2018-04-10,0.557999336,2018-07-10,7.874622822,8.053003311,8.611002647,-0.736379825
2018-04-11,0.293312278,2018-07-11,7.823184967,8.281588554,8.574900832,-0.751715865
2018-04-12,0.082806932,2018-07-12,8.209303856,8.478748322,8.561555254,-0.352251398
2018-04-13,-0.068330147,2018-07-13,8.297035217,8.579270363,8.510940216,-0.213904999
2018-04-16,-0.242397792,2018-07-16,7.567656994,8.691649437,8.449251645,-0.881594651
2018-04-17,-0.496997903,2018-07-17,7.474107265,8.812726021,8.315728118,-0.841620853
2018-04-18,0.701421617,2018-07-18,8.286450386,8.893910408,8.192488791,0.093961595
2018-04-19,-0.901459775,2018-07-19,7.840848923,8.962345123,8.060885348,-0.220036425
